"Adipose Tissue","Muscle","Blood Vessel","Heart","Uterus","Vagina","Breast","Skin","Salivary Gland","Brain","Adrenal Gland","Thyroid","Lung","Spleen","Pancreas","Esophagus","Stomach","Colon","Small Intestine","Prostate","Testis","Nerve","Blood","Pituitary","Ovary","Liver","Kidney","Bladder"
"Nocardioides anomalus","Rothia terrae","Microbacterium resistens","Pseudomonas psychrophila","Microvirga ossetica","Microbacterium wangchenii","Microbacterium atlanticum","Neisseria elongata","Sphingobium yanoikuyae","Rhizorhabdus phycosphaerae","Prevotella melaninogenica","Niveibacterium microcysteis","Nostoc sphaeroides","Mesorhizobium terrae","Micropruina glycogenica","Nocardioides cynanchi","Nocardioides anomalus","Microlunatus elymi","Novisyntrophococcus fermenticellae","Luteimonas chenhongjianii","Rathayibacter festucae","Microlunatus phosphovorus","Neisseria sicca","Paracoccus kondratievae","Niveibacterium microcysteis","Microcoleus vaginatus","Nostoc flagelliforme","Janthinobacterium agaricidamnosum"
"Nocardioides aquaticus","Rugosibacter aromaticivorans","Microbacterium sediminis","Pseudomonas putida","Microvirga thermotolerans","Microcella flavibacter","Microbacterium aurum","Neisseria flavescens","Sphingomonas aliaeris","Rhizorhabdus wittichii","Prevotella nigrescens","Nocardioides anomalus","Novosphingobium aromaticivorans","Metabacillus dongyingensis","Microvirga ossetica","Nocardioides dokdonensis","Nocardioides aquaticus","Microlunatus phosphovorus","Novosphingobium aromaticivorans","Luteimonas granuli","Rheinheimera mangrovi","Micropruina glycogenica","Neisseria subflava","Paracoccus liaowanqingii","Nocardioides anomalus","Microlunatus elymi","Nostoc sphaeroides","Janthinobacterium lividum"
"Nocardioides coralli","Salinicoccus halodurans","Microbacterium wangchenii","Pseudomonas qingdaonensis","Miniphocaeibacter halophilus","Micrococcus luteus","Microbacterium binotii","Neisseria macacae","Sphingomonas alpina","Rhodococcus erythropolis","Prevotella oris","Nocardioides aquaticus","Novosphingobium decolorationis","Methylibium petroleiphilum","Microvirga thermotolerans","Nocardioides dongkuii","Nocardioides coralli","Micropruina glycogenica","Novosphingobium decolorationis","Luteipulveratus mongoliensis","Rhizobacter gummiphilus","Microvirga ossetica","Neomicrococcus aestuarii","Paracoccus marcusii","Nocardioides aquaticus","Microlunatus phosphovorus","Novosphingobium aromaticivorans","Janthinobacterium svalbardensis"
"Nocardioides cynanchi","Sanguibacter keddieii","Microcella flavibacter","Pseudomonas rhizosphaerae","Mobiluncus curtisii","Micrococcus yunnanensis","Microbacterium caowuchunii","Neisseria sicca","Sphingomonas changnyeongensis","Rhodococcus fascians","Prevotella veroralis","Nocardioides baekrokdamisoli","Novosphingobium ginsenosidimutans","Methylobacillus flagellatus","Miniphocaeibacter halophilus","Nocardioides euryhalodurans","Nocardioides cynanchi","Microvirga ossetica","Novosphingobium ginsenosidimutans","Lysobacter enzymogenes","Rhizobium daejeonense","Microvirga thermotolerans","Neotabrizicola shimadae","Paracoccus mutanolyticus","Nocardioides baekrokdamisoli","Micropruina glycogenica","Novosphingobium decolorationis","Janthinobacterium tructae"
"Nocardioides dokdonensis","Schaalia meyeri","Micrococcus luteus","Pseudomonas rhodesiae","Moraxella bovoculi","Microcoleus vaginatus","Microbacterium cremeum","Neisseria subflava","Sphingomonas ginsengisoli An et al. 2013","Rhodococcus qingshengii","Priestia aryabhattai","Nocardioides coralli","Novosphingobium pentaromativorans","Methylobacterium durans","Moraxella bovoculi","Nocardioides mesophilus","Nocardioides dokdonensis","Microvirga thermotolerans","Novosphingobium pentaromativorans","Lysobacter luteus","Rhizobium oryzihabitans","Miniphocaeibacter halophilus","Nesterenkonia pannonica","Paracoccus sanguinis","Nocardioides coralli","Microvirga ossetica","Novosphingobium ginsenosidimutans","Jatrophihabitans telluris"
"Nocardioides dongkuii","Sediminicoccus rosea","Micrococcus yunnanensis","Pseudomonas salmasensis","Moraxella cuniculi","Microlunatus elymi","Microbacterium endophyticum","Neomicrococcus aestuarii","Sphingomonas hengshuiensis","Rhodoferax aquaticus","Propioniciclava coleopterorum","Nocardioides cynanchi","Novosphingobium resinovorum","Methylobacterium indicum","Moraxella cuniculi","Nocardioides okcheonensis","Nocardioides dongkuii","Miniphocaeibacter halophilus","Novosphingobium resinovorum","Lysobacter oculi","Rhizobium pusense","Moraxella bovis","Niallia circulans","Paracoccus yeei","Nocardioides dokdonensis","Microvirga thermotolerans","Novosphingobium pentaromativorans","Jeotgalibaca arthritidis"
"Nocardioides euryhalodurans","Serpentinimonas maccroryi","Microcoleus vaginatus","Pseudomonas sediminis","Moraxella nonliquefaciens","Microlunatus phosphovorus","Microbacterium foliorum","Neotabrizicola shimadae","Sphingomonas koreensis","Rhodoferax ferrireducens","Protaetiibacter intestinalis","Nocardioides dokdonensis","Occultella kanbiaonis","Methylobacterium organophilum","Moraxella nonliquefaciens","Nocardioides panacis","Nocardioides euryhalodurans","Moraxella cuniculi","Occultella kanbiaonis","Macrococcus equipercicus","Rhizorhabdus dicambivorans","Moraxella bovoculi","Niveibacterium microcysteis","Paradevosia shaoguanensis","Nocardioides dongkuii","Mobiluncus curtisii","Novosphingobium resinovorum","Kibdelosporangium phytohabitans"
"Nocardioides mesophilus","Serpentinimonas raichei","Microlunatus elymi","Pseudomonas shahriarae","Moraxella osloensis","Micropruina glycogenica","Microbacterium hominis","Nesterenkonia pannonica","Sphingomonas morindae","Rhodoferax koreense","Protaetiibacter larvae","Nocardioides dongkuii","Ornithinimicrobium avium","Methylobacterium oryzae","Moraxella osloensis","Nocardioides piscis","Nocardioides mesophilus","Moraxella nonliquefaciens","Ornithinimicrobium avium","Marinomonas profundi","Rhizorhabdus phycosphaerae","Moraxella cuniculi","Nocardioides anomalus","Parageobacillus toebii","Nocardioides euryhalodurans","Moraxella bovoculi","Ornithinimicrobium avium","Kineococcus radiotolerans"
"Nocardioides okcheonensis","Serratia fonticola","Microlunatus phosphovorus","Pseudomonas shirazica","Morococcus cerebrosus","Microvirga ossetica","Microbacterium lemovicicum","Niallia circulans","Sphingomonas paeninsulae","Rhodoferax saidenbachensis","Pseudarthrobacter chlorophenolicus","Nocardioides euryhalodurans","Ornithinimicrobium ciconiae","Methylobacterium phyllosphaerae","Morococcus cerebrosus","Nocardioides rotundus","Nocardioides okcheonensis","Moraxella osloensis","Ornithinimicrobium ciconiae","Marisediminicola antarctica","Rhizorhabdus wittichii","Moraxella nasovis","Nocardioides aquaticus","Parascardovia denticolens","Nocardioides mesophilus","Moraxella cuniculi","Ornithinimicrobium ciconiae","Kingella oralis"
"Nocardioides panacis","Serratia liquefaciens","Micropruina glycogenica","Pseudomonas sichuanensis","Mucilaginibacter ginsenosidivorax","Microvirga thermotolerans","Microbacterium liquefaciens","Nocardioides anomalus","Sphingomonas panacis","Rhodoferax sediminis","Pseudarthrobacter psychrotolerans","Nocardioides humi","Ornithinimicrobium flavum","Methylobacterium radiodurans","Mucilaginibacter daejeonensis","Nocardioides seonyuensis","Nocardioides panacis","Morganella morganii","Ornithinimicrobium flavum","Massilia antarctica","Rhodococcus erythropolis","Moraxella nonliquefaciens","Nocardioides coralli","Paroceanicella profunda","Nocardioides okcheonensis","Moraxella nonliquefaciens","Ornithinimicrobium flavum","Klebsiella huaxiensis"
"Nocardioides piscis","Serratia quinivorans","Microvirga ossetica","Pseudomonas siliginis","Mycetocola zhujimingii","Mixta gaviniae","Microbacterium lushaniae","Nocardioides aquaticus","Sphingomonas panacisoli","Rhodopseudomonas boonkerdii","Pseudochrobactrum algeriensis","Nocardioides mesophilus","Ornithinimicrobium pratense","Methylobacterium radiotolerans","Mycetocola zhujimingii","Nocardioides ungokensis","Nocardioides piscis","Morococcus cerebrosus","Ornithinimicrobium pratense","Massilia forsythiae","Rhodococcus fascians","Moraxella osloensis","Nocardioides cynanchi","Parvimonas micra","Nocardioides panacis","Moraxella osloensis","Ornithinimicrobium pratense","Klebsiella michiganensis"
"Nocardioides rotundus","Shewanella xiamenensis","Microvirga thermotolerans","Pseudomonas simiae","Mycobacterium paragordonae","Mobiluncus curtisii","Microbacterium luteum","Nocardioides baekrokdamisoli","Sphingomonas paucimobilis","Rhodopseudomonas palustris","Pseudoduganella armeniaca","Nocardioides okcheonensis","Orrella dioscoreae","Methylobacterium terrae","Mycobacterium doricum","Nodularia sphaerocarpa","Nocardioides seonyuensis","Mycetocola zhujimingii","Orrella marina","Massilia oculi","Rhodococcus qingshengii","Morococcus cerebrosus","Nocardioides dokdonensis","Pedobacter mucosus","Nocardioides piscis","Morococcus cerebrosus","Orrella marina","Klebsiella oxytoca"
"Nocardioides seonyuensis","Shigella dysenteriae","Miniphocaeibacter halophilus","Pseudomonas sivasensis","Mycobacteroides chelonae","Moraxella bovis","Microbacterium oleivorans","Nocardioides coralli","Sphingomonas piscis","Rhodovastum atsumiense","Pseudoduganella flava","Nocardioides panacis","Orrella marina","Methylocaldum marinum","Mycobacterium paragordonae","Nosocomiicoccus ampullae","Nocardioides ungokensis","Mycobacterium paragordonae","Oryzomicrobium terrae","Massilia putida","Rhodoferax aquaticus","Mucilaginibacter daejeonensis","Nocardioides dongkuii","Pedobacter schmidteae","Nocardioides seonyuensis","Mucilaginibacter daejeonensis","Oryzomicrobium terrae","Klebsiella pneumoniae"
"Nocardioides ungokensis","Shigella flexneri","Moraxella bovis","Pseudomonas soli","Mycobacteroides immunogenum","Moraxella bovoculi","Microbacterium paludicola","Nocardioides cynanchi","Sphingomonas profundi","Richelia sinica","Pseudoduganella plicata","Nocardioides piscis","Oryzomicrobium terrae","Methylocella silvestris","Mycobacteroides chelonae","Nostoc edaphicum","Nodularia sphaerocarpa","Mycobacteroides chelonae","Oscillatoria acuminata","Massilia violaceinigra","Rhodoferax koreense","Mycetocola spongiae","Nocardioides euryhalodurans","Pengzhenrongella sicca","Nocardioides ungokensis","Mucilaginibacter ginsenosidivorax","Oscillatoria acuminata","Klebsiella quasipneumoniae"
"Nodularia sphaerocarpa","Shigella sonnei","Moraxella bovoculi","Pseudomonas synxantha","Mycobacteroides salmoniphilum","Moraxella cuniculi","Microbacterium protaetiae","Nocardioides dokdonensis","Sphingomonas psychrotolerans","Rippkaea orientalis","Pseudoduganella umbonata","Nocardioides rotundus","Oscillatoria acuminata","Methylocystis heyeri","Mycolicibacterium gadium","Nostoc sphaeroides","Nosocomiicoccus ampullae","Mycolicibacterium gadium","Oscillatoria nigro-viridis","Megamonas funiformis","Rhodoferax saidenbachensis","Mycetocola zhujimingii","Nocardioides mesophilus","Peptacetobacter hiranonis","Nodularia sphaerocarpa","Mycetocola zhujimingii","Ottowia oryzae","Klebsiella variicola"
"Nosocomiicoccus ampullae","Shinella zoogloeoides","Moraxella cuniculi","Pseudomonas tensinigenes","Mycolicibacterium gadium","Moraxella nonliquefaciens","Microbacterium resistens","Nocardioides dongkuii","Sphingomonas radiodurans","Roseateles depolymerans","Pseudomonas aeruginosa","Nocardioides seonyuensis","Oscillatoria nigro-viridis","Methylocystis parvus","Mycolicibacterium mucogenicum","Novosphingobium aromaticivorans","Nostoc edaphicum","Mycolicibacterium madagascariense","Ottowia oryzae","Megasphaera elsdenii","Rhodoferax sediminis","Mycobacterium doricum","Nocardioides okcheonensis","Peptoniphilus harei","Nosocomiicoccus ampullae","Mycobacterium paragordonae","Ottowia testudinis","Kluyvera ascorbata"
"Nostoc edaphicum","Simplicispira suum","Moraxella nasovis","Pseudomonas tohonis","Mycolicibacterium mucogenicum","Moraxella osloensis","Microbacterium sediminis","Nocardioides euryhalodurans","Sphingomonas rhizophila","Roseburia hominis","Pseudomonas alcaligenes","Nocardioides ungokensis","Ottowia oryzae","Methylorubrum extorquens","Mycolicibacterium neoaurum","Novosphingobium decolorationis","Nostoc sphaeroides","Mycolicibacterium phocaicum","Ottowia testudinis","Meiothermus taiwanensis","Rhodopseudomonas boonkerdii","Mycobacterium paragordonae","Nocardioides panacis","Peribacillus frigoritolerans","Nostoc edaphicum","Mycobacterium parmense","Oxynema aestuarii","Kluyvera intermedia"
"Nostoc sphaeroides","Skermanella rosea","Moraxella nonliquefaciens","Pseudomonas toyotomiensis","Mycolicibacterium neoaurum","Morococcus cerebrosus","Microcella flavibacter","Nocardioides mesophilus","Sphingomonas sabuli","Roseburia intestinalis","Pseudomonas alkylphenolica","Nodularia sphaerocarpa","Ottowia testudinis","Methylorubrum populi","Mycolicibacterium phocaicum","Novosphingobium ginsenosidimutans","Novosphingobium aromaticivorans","Mycolicibacterium thermoresistibile","Oxynema aestuarii","Melaminivora jejuensis","Rhodopseudomonas palustris","Mycobacteroides chelonae","Nocardioides piscis","Phenylobacterium parvum","Nostoc sphaeroides","Mycobacteroides chelonae","Paenarthrobacter nicotinovorans","Kocuria flava"
"Novosphingobium aromaticivorans","Sphaerotilus sulfidivorans","Moraxella osloensis","Pseudomonas tritici","Mycolicibacterium phocaicum","Mucilaginibacter ginsenosidivorax","Micrococcus luteus","Nocardioides okcheonensis","Sphingomonas sanxanigenens","Roseococcus microcysteis","Pseudomonas anuradhapurensis","Nosocomiicoccus ampullae","Oxynema aestuarii","Methylotenera versatilis","Mycolicibacterium thermoresistibile","Novosphingobium pentaromativorans","Novosphingobium decolorationis","Nakamurella antarctica","Paenarthrobacter nicotinovorans","Mesorhizobium amorphae","Rhodovastum atsumiense","Mycobacteroides immunogenum","Nocardioides rotundus","Phenylobacterium zucineum","Novosphingobium aromaticivorans","Mycolicibacterium gadium","Paenibacillus naphthalenovorans","Kocuria indica"
"Novosphingobium decolorationis","Sphingobacterium multivorum","Morococcus cerebrosus","Pseudomonas veronii","Mycolicibacterium thermoresistibile","Mycetocola zhujimingii","Micrococcus yunnanensis","Nocardioides panacis","Sphingomonas sinipercae","Roseomonas gilardii","Pseudomonas asgharzadehiana","Nostoc edaphicum","Paenarthrobacter nicotinovorans","Methylovirgula ligni","Nakamurella antarctica","Novosphingobium resinovorum","Novosphingobium ginsenosidimutans","Nakamurella multipartita","Pandoraea commovens","Mesorhizobium australicum","Richelia sinica","Mycobacteroides salmoniphilum","Nocardioides seonyuensis","Phocaeicola coprophilus","Novosphingobium decolorationis","Mycolicibacterium mucogenicum","Pandoraea commovens","Kocuria palustris"
"Novosphingobium ginsenosidimutans","Sphingobium amiense","Mucilaginibacter daejeonensis","Pseudomonas versuta","Nakamurella antarctica","Mycobacterium paragordonae","Microcoleus vaginatus","Nocardioides piscis","Sphingomonas suaedae","Roseomonas haemaphysalidis","Pseudomonas atacamensis","Nostoc sphaeroides","Pandoraea commovens","Microbacterium amylolyticum","Nakamurella multipartita","Occultella kanbiaonis","Novosphingobium pentaromativorans","Neisseria cinerea","Pantoea agglomerans","Mesorhizobium ciceri","Rippkaea orientalis","Mycolicibacterium gadium","Nocardioides ungokensis","Phocaeicola dorei","Novosphingobium ginsenosidimutans","Mycolicibacterium phocaicum","Pantoea agglomerans","Kosakonia arachidis"
"Novosphingobium pentaromativorans","Sphingobium cloacae","Mucilaginibacter ginsenosidivorax","Pseudomonas viridiflava","Nakamurella multipartita","Mycobacteroides chelonae","Microlunatus elymi","Nocardioides rotundus","Sphingomonas taxi","Roseomonas marmotae","Pseudomonas azerbaijanoriens","Novosphingobium aromaticivorans","Pantoea agglomerans","Microbacterium atlanticum","Neisseria cinerea","Ornithinimicrobium avium","Novosphingobium resinovorum","Neisseria elongata","Pantoea eucalypti","Mesorhizobium erdmanii","Roseateles depolymerans","Mycolicibacterium gilvum","Nodularia sphaerocarpa","Phormidium yuhuli","Novosphingobium pentaromativorans","Mycolicibacterium thermoresistibile","Pantoea eucalypti","Kosakonia cowanii"
"Novosphingobium resinovorum","Sphingobium fuliginis","Mycetocola zhujimingii","Pseudomonas wenzhouensis","Neisseria cinerea","Mycolicibacterium gadium","Microlunatus phosphovorus","Nocardioides seonyuensis","Sphingomonas xanthus","Roseomonas mucosa","Pseudomonas campi","Novosphingobium decolorationis","Pantoea eucalypti","Microbacterium aurum","Neisseria elongata","Ornithinimicrobium ciconiae","Occultella kanbiaonis","Neisseria flavescens","Pantoea eucrina","Mesorhizobium huakuii","Roseburia hominis","Mycolicibacterium madagascariense","Nosocomiicoccus ampullae","Phreatobacter stygius","Novosphingobium resinovorum","Nakamurella antarctica","Pantoea eucrina","Kosakonia oryzae"
"Occultella kanbiaonis","Sphingobium indicum","Mycobacterium paragordonae","Pseudomonas yamanorum","Neisseria elongata","Mycolicibacterium gilvum","Micropruina glycogenica","Nocardioides ungokensis","Sphingopyxis alaskensis","Rothia aeria","Pseudomonas chlororaphis","Novosphingobium ginsenosidimutans","Pantoea eucrina","Microbacterium binotii","Neisseria flavescens","Ornithinimicrobium flavum","Ornithinimicrobium avium","Neisseria macacae","Pantoea stewartii","Mesorhizobium japonicum","Roseococcus microcysteis","Mycolicibacterium mucogenicum","Nostoc edaphicum","Phytobacter ursingii","Occultella kanbiaonis","Nakamurella multipartita","Pantoea stewartii","Kosakonia pseudosacchari"
"Ornithinimicrobium avium","Sphingobium phenoxybenzoativorans","Mycobacteroides chelonae","Pseudonocardia autotrophica","Neisseria flavescens","Mycolicibacterium madagascariense","Microvirga ossetica","Nodularia sphaerocarpa","Sphingopyxis fribergensis","Rothia amarae","Pseudomonas cichorii","Novosphingobium pentaromativorans","Pantoea stewartii","Microbacterium caowuchunii","Neisseria macacae","Ornithinimicrobium pratense","Ornithinimicrobium ciconiae","Neisseria sicca","Pantoea vagans","Mesorhizobium jarvisii","Roseomonas gilardii","Mycolicibacterium phocaicum","Nostoc sphaeroides","Planococcus glaciei","Ornithinimicrobium avium","Neisseria cinerea","Parabacteroides johnsonii","Kosakonia radicincitans"
"Ornithinimicrobium ciconiae","Sphingobium xenophagum","Mycobacteroides salmoniphilum","Pseudonocardia broussonetiae","Neisseria macacae","Mycolicibacterium mucogenicum","Microvirga thermotolerans","Nosocomiicoccus ampullae","Sphingopyxis macrogoltabida","Rothia dentocariosa","Pseudomonas citronellolis","Novosphingobium resinovorum","Paraburkholderia aromaticivorans","Microbacterium chengjingii","Neisseria sicca","Orrella dioscoreae","Ornithinimicrobium flavum","Neisseria subflava","Parabacteroides goldsteinii","Mesorhizobium onobrychidis","Roseomonas haemaphysalidis","Mycolicibacterium thermoresistibile","Novosphingobium aromaticivorans","Polaromonas naphthalenivorans","Ornithinimicrobium ciconiae","Neisseria elongata","Paraburkholderia aromaticivorans","Kosakonia sacchari"
"Ornithinimicrobium flavum","Sphingobium yanoikuyae","Mycolicibacterium gadium","Pseudoprevotella muciniphila","Neisseria sicca","Mycolicibacterium phocaicum","Miniphocaeibacter halophilus","Nostoc edaphicum","Sphingosinithalassobacter tenebrarum","Rothia nasimurium","Pseudomonas donghuensis","Occultella kanbiaonis","Paraburkholderia fungorum","Microbacterium cremeum","Neisseria subflava","Oryzomicrobium terrae","Ornithinimicrobium pratense","Neomicrococcus aestuarii","Parabacteroides johnsonii","Mesorhizobium opportunistum","Roseomonas marmotae","Nakamurella antarctica","Novosphingobium decolorationis","Porphyromonas gingivalis","Ornithinimicrobium flavum","Neisseria flavescens","Paraburkholderia fungorum","Kribbella flavida"
"Ornithinimicrobium pratense","Sphingomonas aliaeris","Mycolicibacterium madagascariense","Pseudoxanthomonas daejeonensis","Neisseria subflava","Mycolicibacterium sediminis","Mobiluncus curtisii","Nostoc sphaeroides","Spirosoma pollinicola","Rothia terrae","Pseudomonas entomophila","Ornithinimicrobium avium","Paracoccus aminovorans","Microbacterium endophyticum","Neomicrococcus aestuarii","Oscillatoria acuminata","Orrella dioscoreae","Neotabrizicola shimadae","Paraburkholderia aromaticivorans","Mesorhizobium terrae","Roseomonas mucosa","Nakamurella multipartita","Novosphingobium ginsenosidimutans","Prevotella copri","Ornithinimicrobium pratense","Neisseria macacae","Paraburkholderia xenovorans","Lachnoanaerobaculum umeaense"
"Orrella dioscoreae","Sphingomonas alpina","Mycolicibacterium mucogenicum","Pseudoxanthomonas mexicana","Neomicrococcus aestuarii","Mycolicibacterium thermoresistibile","Moraxella bovis","Novosphingobium aromaticivorans","Staphylococcus aureus","Rugosibacter aromaticivorans","Pseudomonas eucalypticola","Ornithinimicrobium ciconiae","Paracoccus contaminans","Microbacterium foliorum","Neotabrizicola shimadae","Oscillatoria nigro-viridis","Oryzomicrobium terrae","Nesterenkonia pannonica","Paraburkholderia fungorum","Metabacillus dongyingensis","Rothia aeria","Neisseria cinerea","Novosphingobium pentaromativorans","Prevotella denticola","Orrella marina","Neisseria sicca","Paracoccus aminovorans","Lachnoclostridium phocaeense"
"Oryzomicrobium terrae","Sphingomonas changnyeongensis","Mycolicibacterium phocaicum","Pseudoxanthomonas spadix","Neotabrizicola shimadae","Nakamurella antarctica","Moraxella bovoculi","Novosphingobium decolorationis","Staphylococcus auricularis","Salinicoccus halodurans","Pseudomonas fakonensis","Ornithinimicrobium flavum","Paracoccus jeotgali","Microbacterium hominis","Nesterenkonia pannonica","Ottowia oryzae","Oscillatoria acuminata","Niallia circulans","Paracoccus aminovorans","Metabacillus sediminilitoris","Rothia amarae","Neisseria elongata","Novosphingobium resinovorum","Prevotella histicola","Oryzomicrobium terrae","Neisseria subflava","Paracoccus contaminans","Lacrimispora saccharolytica"
"Oscillatoria acuminata","Sphingomonas ginsengisoli An et al. 2013","Mycolicibacterium sediminis","Psychrobacter alimentarius","Nesterenkonia pannonica","Nakamurella multipartita","Moraxella cuniculi","Novosphingobium ginsenosidimutans","Staphylococcus caprae","Sanguibacter keddieii","Pseudomonas fragi","Ornithinimicrobium pratense","Paracoccus liaowanqingii","Microbacterium lemovicicum","Niallia circulans","Ottowia testudinis","Oscillatoria nigro-viridis","Niveibacterium microcysteis","Paracoccus contaminans","Methylibium petroleiphilum","Rothia dentocariosa","Neisseria flavescens","Occultella kanbiaonis","Prevotella intermedia","Oscillatoria acuminata","Neomicrococcus aestuarii","Paracoccus jeotgali","Lacticaseibacillus paracasei"
"Oscillatoria nigro-viridis","Sphingomonas hengshuiensis","Mycolicibacterium thermoresistibile","Psychrobacter arcticus","Niallia circulans","Neisseria cinerea","Moraxella nasovis","Novosphingobium pentaromativorans","Staphylococcus epidermidis","Schaalia meyeri","Pseudomonas frederiksbergensis","Orrella dioscoreae","Paracoccus marcusii","Microbacterium liquefaciens","Nitrobacter hamburgensis","Oxynema aestuarii","Ottowia oryzae","Nocardioides anomalus","Paracoccus jeotgali","Methylobacillus flagellatus","Rothia nasimurium","Neisseria macacae","Ornithinimicrobium avium","Prevotella jejuni","Oscillatoria nigro-viridis","Neotabrizicola shimadae","Paracoccus kondratievae","Lactiplantibacillus pentosus"
"Ottowia oryzae","Sphingomonas koreensis","Nakamurella antarctica","Psychrobacter arenosus","Niveibacterium microcysteis","Neisseria elongata","Moraxella nonliquefaciens","Novosphingobium resinovorum","Staphylococcus equorum","Sediminicoccus rosea","Pseudomonas furukawaii","Orrella marina","Paracoccus mutanolyticus","Microbacterium lushaniae","Niveibacterium microcysteis","Paenarthrobacter nicotinovorans","Ottowia testudinis","Nocardioides aquaticus","Paracoccus kondratievae","Methylobacterium durans","Rothia terrae","Neisseria sicca","Ornithinimicrobium ciconiae","Prevotella melaninogenica","Ottowia oryzae","Nesterenkonia pannonica","Paracoccus liaowanqingii","Lactiplantibacillus plantarum"
"Ottowia testudinis","Sphingomonas lacunae","Nakamurella multipartita","Psychrobacter cryohalolentis","Niveispirillum cyanobacteriorum","Neisseria flavescens","Moraxella osloensis","Occultella kanbiaonis","Staphylococcus haemolyticus","Serinicoccus chungangensis","Pseudomonas germanica","Oryzomicrobium terrae","Paracoccus sanguinis","Microbacterium luteum","Nocardioides anomalus","Paenibacillus naphthalenovorans","Oxynema aestuarii","Nocardioides coralli","Paracoccus liaowanqingii","Methylobacterium indicum","Rugosibacter aromaticivorans","Neisseria subflava","Ornithinimicrobium flavum","Prevotella nigrescens","Ottowia testudinis","Niallia circulans","Paracoccus marcusii","Lactobacillus acetotolerans"
"Oxynema aestuarii","Sphingomonas morindae","Neisseria cinerea","Psychrobacter urativorans","Nocardia farcinica","Neisseria macacae","Morococcus cerebrosus","Ornithinimicrobium avium","Staphylococcus hominis","Serpentinimonas maccroryi","Pseudomonas glycinae","Oscillatoria acuminata","Paracoccus yeei","Microbacterium oleivorans","Nocardioides aquaticus","Pandoraea commovens","Paenarthrobacter nicotinovorans","Nocardioides dokdonensis","Paracoccus marcusii","Methylobacterium organophilum","Salinicoccus halodurans","Neomicrococcus aestuarii","Ornithinimicrobium pratense","Prevotella oris","Oxynema aestuarii","Niveibacterium microcysteis","Paracoccus mutanolyticus","Lactobacillus acidophilus"
"Paenarthrobacter nicotinovorans","Sphingomonas paeninsulae","Neisseria elongata","Psychromicrobium lacuslunae","Nocardioides anomalus","Neisseria sicca","Mucilaginibacter daejeonensis","Ornithinimicrobium ciconiae","Staphylococcus nepalensis","Serpentinimonas raichei","Pseudomonas gozinkensis","Oscillatoria nigro-viridis","Paracoccus zhejiangensis","Microbacterium paludicola","Nocardioides baekrokdamisoli","Pantoea agglomerans","Panacibacter ginsenosidivorans","Nocardioides dongkuii","Paracoccus mutanolyticus","Methylobacterium oryzae","Sanguibacter keddieii","Neotabrizicola shimadae","Orrella dioscoreae","Prevotella veroralis","Paenarthrobacter nicotinovorans","Nocardioides anomalus","Paracoccus sanguinis","Lactobacillus amylovorus"
"Pandoraea commovens","Sphingomonas panacis","Neisseria flavescens","Pulveribacter suum","Nocardioides aquaticus","Neisseria subflava","Mucilaginibacter ginsenosidivorax","Ornithinimicrobium flavum","Staphylococcus pasteuri","Serratia fonticola","Pseudomonas hydrolytica","Ottowia oryzae","Paradevosia shaoguanensis","Microbacterium protaetiae","Nocardioides coralli","Pantoea eucalypti","Pandoraea apista","Nocardioides euryhalodurans","Paracoccus sanguinis","Methylobacterium phyllosphaerae","Schaalia meyeri","Nesterenkonia pannonica","Orrella marina","Priestia aryabhattai","Paenarthrobacter ureafaciens","Nocardioides aquaticus","Paracoccus suum","Lactobacillus apis"
"Pantoea agglomerans","Sphingomonas panacisoli","Neisseria macacae","Qipengyuania flava","Nocardioides baekrokdamisoli","Neomicrococcus aestuarii","Mycetocola spongiae","Ornithinimicrobium pratense","Staphylococcus pettenkoferi","Serratia liquefaciens","Pseudomonas iranensis","Ottowia testudinis","Parageobacillus toebii","Microbacterium resistens","Nocardioides cynanchi","Pantoea eucrina","Pandoraea commovens","Nocardioides mesophilus","Paracoccus suum","Methylobacterium radiodurans","Sediminicoccus rosea","Niallia circulans","Oryzomicrobium terrae","Propionibacterium acidifaciens","Paenibacillus naphthalenovorans","Nocardioides coralli","Paracoccus yeei","Lactobacillus crispatus"
"Pantoea dispersa","Sphingomonas paucimobilis","Neisseria sicca","Qipengyuania sediminis","Nocardioides coralli","Neotabrizicola shimadae","Mycetocola zhujimingii","Orrella dioscoreae","Staphylococcus saccharolyticus","Serratia quinivorans","Pseudomonas juntendi","Oxynema aestuarii","Parascardovia denticolens","Microbacterium sediminis","Nocardioides dokdonensis","Pantoea stewartii","Pantoea agglomerans","Nocardioides okcheonensis","Paracoccus yeei","Methylobacterium radiotolerans","Serinicoccus chungangensis","Niveibacterium microcysteis","Oscillatoria acuminata","Propioniciclava coleopterorum","Pandoraea commovens","Nocardioides cynanchi","Paracoccus zhejiangensis","Lactobacillus delbrueckii"
