"","Liver","Heart","Bladder","Colon","Testis","Stomach","microbiomes"
"Methanotorris igneus",0,0,0,0,0,0,"Methanotorris igneus"
"Methylacidiphilum infernorum",0,0,0,0,0,0,"Methylacidiphilum infernorum"
"Methylacidiphilum kamchatkense",0,0,0,0,0,0,"Methylacidiphilum kamchatkense"
"Methylibium petroleiphilum",0,0,0,0,8.19659292735102e-06,0,"Methylibium petroleiphilum"
"Methylobacillus flagellatus",0,0,0,0,0,0,"Methylobacillus flagellatus"
"Methylobacterium durans",0,0,0,0,4.97313827317021e-06,0,"Methylobacterium durans"
"Methylobacterium indicum",0,0,0,3.83261171245499e-05,2.95917334031065e-05,0,"Methylobacterium indicum"
"Methylobacterium nodulans",0,0,0,0,0,0,"Methylobacterium nodulans"
"Methylobacterium organophilum",0.000140563126126549,4.83596418620369e-06,0,5.40423714955172e-05,1.53370973395648e-05,0,"Methylobacterium organophilum"
"Methylobacterium oryzae",0,0,0,0,0,0,"Methylobacterium oryzae"
"Methylobacterium phyllosphaerae",0,0,0,2.18748344767825e-05,0,4.33270692489624e-05,"Methylobacterium phyllosphaerae"
"Methylobacterium radiodurans",0.000225454950158283,0,0,0,0,0.000128696270822324,"Methylobacterium radiodurans"
"Methylobacterium radiotolerans",0.000352733686067019,6.4809222100653e-06,0,0,0,0,"Methylobacterium radiotolerans"
"Methylobacterium terrae",0,0,0,4.65273962657819e-05,0,0,"Methylobacterium terrae"
"Methylocaldum marinum",0,0,0,0,0,0,"Methylocaldum marinum"
"Methyloceanibacter caenitepidi",0,0,0,0,0,0,"Methyloceanibacter caenitepidi"
"Methylocella silvestris",0,0,0,0,0,0,"Methylocella silvestris"
"Methylococcus capsulatus",0.000741838782283468,0,0,0,4.73917050647292e-05,4.49845679217491e-05,"Methylococcus capsulatus"
"Methylococcus geothermalis",0,0,0,0,0,0,"Methylococcus geothermalis"
"Methylocystis bryophila",0,0,0,0,9.43938916480294e-06,0,"Methylocystis bryophila"
"Methylocystis heyeri",0,0,0,0,0,0,"Methylocystis heyeri"
"Methylocystis parvus",0,0,0,0,0,0,"Methylocystis parvus"
"Methylogaea oryzae",0,0,0,3.65110163184548e-05,0,0,"Methylogaea oryzae"
"Methylomagnum ishizawai",0,0,0,0,0,0,"Methylomagnum ishizawai"
"Methylomonas denitrificans",0,0,0,5.75546302253623e-06,0,0,"Methylomonas denitrificans"
"Methylomonas koyamae",0,0,0,0,0,0,"Methylomonas koyamae"
"Methylomonas methanica",0,0,0,0,0,0,"Methylomonas methanica"
"Methylomonas paludis",0,0,0,0,0,0,"Methylomonas paludis"
"Methylomonas rhizoryzae",0,0,0,0,0,0,"Methylomonas rhizoryzae"
"Methylomusa anaerophila",0,0,0,0.000137974821569008,0,0,"Methylomusa anaerophila"
"Methylophaga frappieri",0,0,0,0,0,0,"Methylophaga frappieri"
"Methylophaga nitratireducenticrescens",0,0,0,0,0,0,"Methylophaga nitratireducenticrescens"
"Methylophaga pinxianii",0,0,0,0,0,0,"Methylophaga pinxianii"
"Methyloradius palustris",0,0,0,0,0,0,"Methyloradius palustris"
"Methylorubrum extorquens",0,6.55145479767667e-06,0,0.000204979368176582,1.16924495559971e-05,0,"Methylorubrum extorquens"
"Methylorubrum populi",0,5.07651139353412e-06,0,0.000149180721658448,3.88232817054173e-05,9.90284292883527e-05,"Methylorubrum populi"
"Methylotenera mobilis",0,0,0,0,0,0,"Methylotenera mobilis"
"Methylotenera versatilis",0,0,0,0,0,0,"Methylotenera versatilis"
"Methylotuvimicrobium alcaliphilum",0,0,0,0,0,0,"Methylotuvimicrobium alcaliphilum"
"Methylotuvimicrobium buryatense",0,0,0,0,0,0,"Methylotuvimicrobium buryatense"
"Methylovirgula ligni",0,0,0,0,1.09928783657647e-05,1.84399778992292e-05,"Methylovirgula ligni"
"Methylovorus glucosotrophus",0,0,0,1.99452995158574e-05,0,6.60014941738792e-05,"Methylovorus glucosotrophus"
"Methylovulum psychrotolerans",0,0,0,1.84892452908884e-05,0,0,"Methylovulum psychrotolerans"
"Metrivirus ME3",0,0,0,0,0,0,"Metrivirus ME3"
"Mexican papita viroid",0,0,0,0,0,0,"Mexican papita viroid"
"Mguuvirus JG068",0,0,0,0,0,0,"Mguuvirus JG068"
"Micavibrio aeruginosavorus",0,0,0,0,0,0,"Micavibrio aeruginosavorus"
"Micavirus Mica",0,0,0,0,0,0,"Micavirus Mica"
"Microbacterium amylolyticum",0,0,0,0,8.20246861446796e-06,0,"Microbacterium amylolyticum"
"Microbacterium atlanticum",0,0,0,0,0,0,"Microbacterium atlanticum"
"Microbacterium aurum",0,0,0,0,0,0,"Microbacterium aurum"
"Microbacterium binotii",0,4.83596418620369e-06,0,0,0,0,"Microbacterium binotii"
"Microbacterium caowuchunii",0,0,0,0,0,0,"Microbacterium caowuchunii"
"Microbacterium chengjingii",0,0,0,0,0,0,"Microbacterium chengjingii"
"Microbacterium cremeum",0,9.59757374165041e-06,0,0,0,0,"Microbacterium cremeum"
"Microbacterium endophyticum",0,0,0,0,0,0.000358505793417648,"Microbacterium endophyticum"
"Microbacterium fandaimingii",0,0,0,0,0,0,"Microbacterium fandaimingii"
"Microbacterium foliorum",0,0,0,0,0,0,"Microbacterium foliorum"
"Microbacterium hominis",0,0,0,0,0,0,"Microbacterium hominis"
"Microbacterium lemovicicum",0,0,0,0,0,0,"Microbacterium lemovicicum"
"Microbacterium liquefaciens",0,0,0,0.000143460338948285,0,3.48754606008919e-05,"Microbacterium liquefaciens"
"Microbacterium lushaniae",0,0,0,0,0,0,"Microbacterium lushaniae"
"Microbacterium luteum",0,0,0,0,0,0,"Microbacterium luteum"
"Microbacterium oleivorans",0,0,0,0,0,0,"Microbacterium oleivorans"
"Microbacterium paludicola",0,0,0,0,0,0,"Microbacterium paludicola"
"Microbacterium protaetiae",0,0,0,0,0,0,"Microbacterium protaetiae"
"Microbacterium resistens",0,2.07036162453903e-05,4.32788017056096e-05,0,0,0,"Microbacterium resistens"
"Microbacterium sediminis",0,0,0,0,0,0,"Microbacterium sediminis"
"Microbacterium wangchenii",9.24389651120564e-05,0,0,0,0,0,"Microbacterium wangchenii"
"Microbulbifer agarilyticus",0,0,0,0,0,0,"Microbulbifer agarilyticus"
"Microbulbifer aggregans",0,0,0,0,0,0,"Microbulbifer aggregans"
"Microbulbifer celer",0,0,0,0,0,0,"Microbulbifer celer"
"Microbulbifer hydrolyticus",0,0,0,0,0,0,"Microbulbifer hydrolyticus"
"Microbulbifer thermotolerans",0,0,0,0,0,0,"Microbulbifer thermotolerans"
"Microcella flavibacter",0,0,0,0,0,0,"Microcella flavibacter"
"Micrococcus luteus",0.000350991414321741,0,0,0.000361033582907214,0,0,"Micrococcus luteus"
"Micrococcus yunnanensis",0.00167848748263215,5.55028268709773e-06,0,0.000498892431642021,5.01949899666818e-06,6.79330208875963e-05,"Micrococcus yunnanensis"
"Microcoleus vaginatus",0,0,0,0,0,0,"Microcoleus vaginatus"
"Microcystis virus Ma-LMM01",0,0,0,0,0,0,"Microcystis virus Ma-LMM01"
"Microlunatus elymi",0,0,0,0,0,0,"Microlunatus elymi"
"Microlunatus phosphovorus",9.24297229715519e-05,0,0,0,8.09087670121727e-06,0,"Microlunatus phosphovorus"
"Micromonas pusilla reovirus",0,0,0,0,0,0,"Micromonas pusilla reovirus"
"Micromonas pusilla virus 12T",0,0,0,0,0,0,"Micromonas pusilla virus 12T"
"Micromonas sp. RCC1109 virus MpV1",0,0,0,0,0,0,"Micromonas sp. RCC1109 virus MpV1"
"Micromonospora aurantiaca",0,0,0,0,0,0,"Micromonospora aurantiaca"
"Micromonospora carbonacea",0,0,0,0,0,0,"Micromonospora carbonacea"
"Micromonospora craniellae",0,0,0,0,0,0,"Micromonospora craniellae"
"Micromonospora maris",0,0,0,0,0,0,"Micromonospora maris"
"Micromonospora terminaliae",0,0,0,0,0,0,"Micromonospora terminaliae"
"Micromonospora tulbaghiae",0,0,0,0,0,0,"Micromonospora tulbaghiae"
"Micropruina glycogenica",0,0,0,0,0,0,"Micropruina glycogenica"
"Microvenator marinus",0,0,0,0,0,0,"Microvenator marinus"
"Microvirga ossetica",0,0,0,0.000556472008827528,0,0,"Microvirga ossetica"
"Microvirga thermotolerans",0,0,0,0.0011023176932976,0,8.59586873518189e-05,"Microvirga thermotolerans"
"Microviridae Bog1249_12",0,0,0,0,0,0,"Microviridae Bog1249_12"
"Microviridae Bog5275_51",0,0,0,0,0,0,"Microviridae Bog5275_51"
"Microviridae Bog9017_22",0,0,0,0,0,0,"Microviridae Bog9017_22"
"Microviridae Fen2266_11",0,0,0,0,0,0,"Microviridae Fen2266_11"
"Microviridae Fen418_41",0,0,0,0,0,0,"Microviridae Fen418_41"
"Microviridae Fen4707_41",0,0,0,0,0,0,"Microviridae Fen4707_41"
"Microviridae Fen685_11",0,0,0,0,0,0,"Microviridae Fen685_11"
"Microviridae Fen7786_21",0,0,0,0,0,0,"Microviridae Fen7786_21"
"Microviridae Fen7895_21",0,0,0,0,0,0,"Microviridae Fen7895_21"
"Microviridae Fen7918_21",0,0,0,0,0,0,"Microviridae Fen7918_21"
"Microviridae Fen7940_21",0,0,0,0,0,0,"Microviridae Fen7940_21"
"Microviridae IME-16",0,0,0,0,0,0,"Microviridae IME-16"
"Microviridae phi-CA82",0,0,0,0,0,0,"Microviridae phi-CA82"
"Microwolfvirus Bxz2",0,0,0,0,0,0,"Microwolfvirus Bxz2"
"Microwolfvirus JHC117",0,0,0,0,0,0,"Microwolfvirus JHC117"
"Microwolfvirus microwolf",0,0,0,0,0,0,"Microwolfvirus microwolf"
"Microwolfvirus purplehaze",0,0,0,0,0,0,"Microwolfvirus purplehaze"
"Microwolfvirus soildragon",0,0,0,0,0,0,"Microwolfvirus soildragon"
"Microwolfvirus zetzy",0,0,0,0,0,0,"Microwolfvirus zetzy"
"Middelburg virus",0,0,0,0,0,0,"Middelburg virus"
"Middle East respiratory syndrome-related coronavirus",0,0,0,0,0,0,"Middle East respiratory syndrome-related coronavirus"
"Mieseafarmvirus RSL1",0,0,0,0,0,0,"Mieseafarmvirus RSL1"
"Milk vetch dwarf C2 alphasatellite",0,0,0,0,0,0,"Milk vetch dwarf C2 alphasatellite"
"Milk vetch dwarf China alphasatellite",0,0,0,0,0,0,"Milk vetch dwarf China alphasatellite"
"Milk vetch dwarf alphasatellite 2",0,0,0,0,0,0,"Milk vetch dwarf alphasatellite 2"
"Milk vetch dwarf alphasatellite 3",0,0,0,0,0,0,"Milk vetch dwarf alphasatellite 3"
"Milk vetch dwarf virus",0,0,0,0,0,0,"Milk vetch dwarf virus"
"Millipede associated circular virus 1",0,0,0,0,0,0,"Millipede associated circular virus 1"
"Miltoncostaea marina",0,0,0,0,0,0,"Miltoncostaea marina"
"Miltoncostaea oceani",0,0,0,0,0,0,"Miltoncostaea oceani"
"Miltonvirus 3M",0,0,0,0,0,0,"Miltonvirus 3M"
"Miltonvirus MAM1",0,0,0,0,0,0,"Miltonvirus MAM1"
"Mimasvirus CBB",0,0,0,0,0,0,"Mimasvirus CBB"
"Mimasvirus GAP32",0,0,0,0,0,0,"Mimasvirus GAP32"
"Mimivirus-dependent virus Sputnik",0,0,0,0,0,0,"Mimivirus-dependent virus Sputnik"
"Mimivirus-dependent virus Zamilon",0,0,0,0,0,0,"Mimivirus-dependent virus Zamilon"
"Mimosa yellow leaf curl virus",0,0,0,0,0,0,"Mimosa yellow leaf curl virus"
"Mimosa yellow leaf curl virus satellite DNA beta",0,0,0,0,0,0,"Mimosa yellow leaf curl virus satellite DNA beta"
"Mimosa yellow leaf curl virus-associated DNA 1",0,0,0,0,0,0,"Mimosa yellow leaf curl virus-associated DNA 1"
"Mincapvirus HSTV2",0,0,0,0,0,0,"Mincapvirus HSTV2"
"Mingyongvirus VMY22",0,0,0,0,0,0,"Mingyongvirus VMY22"
"Minhovirus IME199",0,0,0,0,0,0,"Minhovirus IME199"
"Minhovirus zip",0,0,0,0,0,0,"Minhovirus zip"
"Miniopterus bat coronavirus 1",0,0,0,0,0,0,"Miniopterus bat coronavirus 1"
"Miniopterus bat coronavirus HKU8",0,0,0,0,0,0,"Miniopterus bat coronavirus HKU8"
"Miniphocaeibacter halophilus",0,0,0,0,0,0,"Miniphocaeibacter halophilus"
"Minipunavirus MP2",0,0,0,0,0,0,"Minipunavirus MP2"
"Minipunavirus MmP1",0,0,0,0,0,0,"Minipunavirus MmP1"
"Mink calicivirus",0,0,0,0,0,0,"Mink calicivirus"
"Mink circovirus",0,0,0,0,0,0,"Mink circovirus"
"Mink coronavirus 1",0,0,0,0,0,0,"Mink coronavirus 1"
"Minorvirus HRTV27",0,0,0,0,0,0,"Minorvirus HRTV27"
"Minovirus A",0,0,0,0,0,0,"Minovirus A"
"Mint virus 1",0,0,0,0,0,0,"Mint virus 1"
"Mint virus X",0,0,0,0,0,0,"Mint virus X"
"Minunavirus Min1",0,0,0,0,0,0,"Minunavirus Min1"
"Mirabilis jalapa mottle virus",0,0,0,0,0,0,"Mirabilis jalapa mottle virus"
"Mirabilis leaf curl India virus associated betasatellite",0,0,0,0,0,0,"Mirabilis leaf curl India virus associated betasatellite"
"Mirabilis leaf curl betasatellite",0,0,0,0,0,0,"Mirabilis leaf curl betasatellite"
"Mirabilis leaf curl virus",0,0,0,0,0,0,"Mirabilis leaf curl virus"
"Mirabilis mosaic virus",0,0,0,0,0,0,"Mirabilis mosaic virus"
"Miscanthus streak virus",0,0,0,0,0,0,"Miscanthus streak virus"
"Mischivirus A",0,0,0,0,0,0,"Mischivirus A"
"Mischivirus B",0,0,0,0,0,0,"Mischivirus B"
"Mischivirus C",0,0,0,0,0,0,"Mischivirus C"
"Mischivirus D",0,0,0,0,0,0,"Mischivirus D"
"Mithrilvirus smaug",0,0,0,0,0,0,"Mithrilvirus smaug"
"Mivirus amblyommae",0,0,0,0,0,0,"Mivirus amblyommae"
"Mivirus boleense",0,0,0,0,0,0,"Mivirus boleense"
"Mivirus changpingense",0,0,0,0,0,0,"Mivirus changpingense"
"Mivirus dermacentoris",0,0,0,0,0,0,"Mivirus dermacentoris"
"Mivirus suffolkense",0,0,0,0,0,0,"Mivirus suffolkense"
"Mivirus wuhanense",0,0,0,0,0,0,"Mivirus wuhanense"
"Mixta gaviniae",0,0,0,5.80593843324387e-06,0,0,"Mixta gaviniae"
"Mixta intestinalis",0,0,0,0,0,6.38732378874688e-05,"Mixta intestinalis"
"Mizyes virus 1",0,0,0,0,0,0,"Mizyes virus 1"
"Moabitevirus moabite",0,0,0,0,0,0,"Moabitevirus moabite"
"Moabitevirus mv2050HW",0,0,0,0,0,0,"Moabitevirus mv2050HW"
"Mobala mammarenavirus",0,0,0,0,0,0,"Mobala mammarenavirus"
"Mobiluncus curtisii",0,0,0,0,0,0,"Mobiluncus curtisii"
"Mobuck virus",0,0,0,0,0,0,"Mobuck virus"
"Mocis latipes granulovirus",0,0,0,0,0,0,"Mocis latipes granulovirus"
"Modoc virus",0,0,0,0,0,0,"Modoc virus"
"Moellerella wisconsensis",0,0,0,0,0,0,"Moellerella wisconsensis"
"Mogiana tick virus",0,0,0,0,0,0,"Mogiana tick virus"
"Mogibacterium diversum",0,0,0,7.34701341717886e-05,0,6.38732378874688e-05,"Mogibacterium diversum"
"Moineauvirus Abc2",0,0,0,0,0,0,"Moineauvirus Abc2"
"Moineauvirus DT1",0,0,0,0,0,0,"Moineauvirus DT1"
"Moineauvirus Sfi19",0,0,0,0,0,0,"Moineauvirus Sfi19"
"Moineauvirus Sfi21",0,0,0,0,0,0,"Moineauvirus Sfi21"
"Moineauvirus mv7201",0,0,0,0,0,0,"Moineauvirus mv7201"
"Mojiang henipavirus",0,0,0,0,0,0,"Mojiang henipavirus"
"Moku virus",0,0,0,0,0,0,"Moku virus"
"Mollivirus sibericum",0,0,0,0,0,0,"Mollivirus sibericum"
"Molluscum contagiosum virus",0,0,0,0,0,0,"Molluscum contagiosum virus"
"Mollyvirus colly",0,0,0,0,0,0,"Mollyvirus colly"
"Mollyvirus molly",0,0,0,0,0,0,"Mollyvirus molly"
"Moloney murine sarcoma virus",0.000705467372134039,0,0,0,0,0,"Moloney murine sarcoma virus"
"Molossus molossus circovirus 1",0,0,0,0,0,0,"Molossus molossus circovirus 1"
"Molossus molossus circovirus 2",0,0,0,0,0,0,"Molossus molossus circovirus 2"
"Molossus molossus circovirus 3",0,0,0,0,0,0,"Molossus molossus circovirus 3"
"Molossus molossus circovirus 4",0,0,0,0,0,0,"Molossus molossus circovirus 4"
"Molossus molossus papillomavirus 1",0,0,0,0,0,0,"Molossus molossus papillomavirus 1"
"Momordica yellow mosaic betasatellite",0,0,0,0,0,0,"Momordica yellow mosaic betasatellite"
"Mona Grita phlebovirus",0,0,0,0,0,0,"Mona Grita phlebovirus"
"Mongoliitalea daihaiensis",0,0,0,0,0,0,"Mongoliitalea daihaiensis"
"Monkeypox virus",0,0,0,0,0,0,"Monkeypox virus"
"Monodontid alphaherpesvirus 1",0,0,0,0,0,0,"Monodontid alphaherpesvirus 1"
"Montana myotis leukoencephalitis virus",0,0,0,0,0,0,"Montana myotis leukoencephalitis virus"
"Montano orthohantavirus",0,0,0,0,0,0,"Montano orthohantavirus"
"Montyvirus adgers",0,0,0,0,0,0,"Montyvirus adgers"
"Montyvirus beaver",0,0,0,0,0,0,"Montyvirus beaver"
"Montyvirus birksandsocks",0,0,0,0,0,0,"Montyvirus birksandsocks"
"Montyvirus chelms",0,0,0,0,0,0,"Montyvirus chelms"
"Montyvirus flakey",0,0,0,0,0,0,"Montyvirus flakey"
"Montyvirus jellybones",0,0,0,0,0,0,"Montyvirus jellybones"
"Montyvirus john316",0,0,0,0,0,0,"Montyvirus john316"
"Montyvirus monty",0,0,0,0,0,0,"Montyvirus monty"
"Montyvirus sombrero",0,0,0,0,0,0,"Montyvirus sombrero"
"Montyvirus stevefrench",0,0,0,0,0,0,"Montyvirus stevefrench"
"Mooglevirus Sf13",0,0,0,0,0,0,"Mooglevirus Sf13"
"Mooglevirus Sf14",0,0,0,0,0,0,"Mooglevirus Sf14"
"Mooglevirus Sf17",0,0,0,0,0,0,"Mooglevirus Sf17"
"Mooglevirus moogle",0,0,0,0,0,0,"Mooglevirus moogle"
"Mooglevirus mordin",0,0,0,0,0,0,"Mooglevirus mordin"
"Moomoovirus moomoo",0,0,0,0,0,0,"Moomoovirus moomoo"
"Moonbeamvirus moonbeam",0,0,0,0,0,0,"Moonbeamvirus moonbeam"
"Moonvirus cf1",0,0,0,0,0,0,"Moonvirus cf1"
"Moonvirus merlin",0,0,0,0,0,0,"Moonvirus merlin"
"Moonvirus moon",0,0,0,0,0,0,"Moonvirus moon"
"Moorella thermoacetica",0,0,0,0,0,0,"Moorella thermoacetica"
"Mooreparkvirus Lb3381",0,0,0,0,0,0,"Mooreparkvirus Lb3381"
"Mopeia Lassa virus reassortant 29",0,0,0,0,0,0,"Mopeia Lassa virus reassortant 29"
"Mopeia mammarenavirus",0,0,0,0,0,0,"Mopeia mammarenavirus"
"Moraxella bovis",0,0,0,0,0,0,"Moraxella bovis"
"Moraxella bovoculi",0,0,0,0,0,0,"Moraxella bovoculi"
"Moraxella catarrhalis",0,0,0,0,0,0,"Moraxella catarrhalis"
"Moraxella cuniculi",0,0,0,0.000413621095246428,1.52061413894839e-05,0,"Moraxella cuniculi"
"Moraxella nasovis",0,0,0,0,0,0,"Moraxella nasovis"
"Moraxella nonliquefaciens",0,0,0,0.000449306619247838,0,0.000690016201574537,"Moraxella nonliquefaciens"
"Moraxella osloensis",0,1.80006768107953e-05,0,0.0034467555063536,3.82020161476755e-05,0.00264588163058075,"Moraxella osloensis"
"Moraxella ovis",0,0,0,0,0,0,"Moraxella ovis"
"Morganella morganii",0,0,0,0,0,0,"Morganella morganii"
"Moritella marina",0,0,0,0,0,0,"Moritella marina"
"Moritella yayanosii",0,0,0,0,0,0,"Moritella yayanosii"
"Moroccan pepper virus",0,0,0,0,0,0,"Moroccan pepper virus"
"Moroccan watermelon mosaic virus",0,0,0,0,0,0,"Moroccan watermelon mosaic virus"
"Morococcus cerebrosus",0,0,0,0,0,1.56671024001186e-05,"Morococcus cerebrosus"
"Morsusvirus argatis",0,0,0,0,0,0,"Morsusvirus argatis"
"Mosavirus A",0,0,0,0,0,0,"Mosavirus A"
"Mosigvirus 0157tp3",0,0,0,0,0,0,"Mosigvirus 0157tp3"
"Mosigvirus 25307",0,0,0,0,0,0,"Mosigvirus 25307"
"Mosigvirus HX01",0,0,0,0,0,0,"Mosigvirus HX01"
"Mosigvirus JS09",0,0,0,0,0,0,"Mosigvirus JS09"
"Mosigvirus RB69",0,0,0,0,0,0,"Mosigvirus RB69"
"Mosigvirus atk47",0,0,0,0,0,0,"Mosigvirus atk47"
"Mosigvirus c120",0,0,0,0,0,0,"Mosigvirus c120"
"Mosigvirus hp3",0,0,0,0,0,0,"Mosigvirus hp3"
"Mosigvirus mar005p1",0,0,0,0,0,0,"Mosigvirus mar005p1"
"Mosigvirus p000v",0,0,0,0,0,0,"Mosigvirus p000v"
"Mosigvirus phapec2",0,0,0,0,0,0,"Mosigvirus phapec2"
"Mosigvirus sf",0,0,0,0,0,0,"Mosigvirus sf"
"Mosigvirus shsm521",0,0,0,0,0,0,"Mosigvirus shsm521"
"Mosigvirus utam",0,0,0,0,0,0,"Mosigvirus utam"
"Mosquito VEM virus SDRBAJ",0,0,0,0,0,0,"Mosquito VEM virus SDRBAJ"
"Mosquito associated circovirus 1",0,0,0,0,0,0,"Mosquito associated circovirus 1"
"Mosquito circovirus",0,0,0,0,0,0,"Mosquito circovirus"
"Mosquito densovirus BR/07",0,0,0,0,0,0,"Mosquito densovirus BR/07"
"Mossman narmovirus",0,0,0,0,0,0,"Mossman narmovirus"
"Mosso das Pedras virus",0,0,0,0,0,0,"Mosso das Pedras virus"
"Mosugukvirus pm2",0,0,0,0,0,0,"Mosugukvirus pm2"
"Motherwort yellow mottle virus",0,0,0,0,0,0,"Motherwort yellow mottle virus"
"Mothra mobuvirus",0,0,0,0,0,0,"Mothra mobuvirus"
"Moturavirus motura",0,0,0,0,0,0,"Moturavirus motura"
"Moumouvirus",0,0,0,0,0,0,"Moumouvirus"
"Mouse associated cyclovirus 1",0,0,0,0,0,0,"Mouse associated cyclovirus 1"
"Mouse astrovirus M-52/USA/2008",0,0,0,0,0,0,"Mouse astrovirus M-52/USA/2008"
"Mouse kobuvirus M-5/USA/2010",0,0,0,0,0,0,"Mouse kobuvirus M-5/USA/2010"
"Mouse mammary tumor virus",0.000477679037035868,0,0,0,0,0,"Mouse mammary tumor virus"
"Mousrhavirus moussa",0,0,0,0,0,0,"Mousrhavirus moussa"
"Muarterivirus afrigant",0,0,0,0,0,0,"Muarterivirus afrigant"
"Mucambo virus",0,0,0,0,0,0,"Mucambo virus"
"Mucilaginibacter celer",0,0,0,0,0,0,"Mucilaginibacter celer"
"Mucilaginibacter daejeonensis",0,0,0,9.33009118447207e-05,0,0,"Mucilaginibacter daejeonensis"
"Mucilaginibacter ginkgonis",0,0,0,0,0,0,"Mucilaginibacter ginkgonis"
"Mucilaginibacter ginsenosidivorans",0,9.59757374165041e-06,0,0,0,0,"Mucilaginibacter ginsenosidivorans"
"Mucilaginibacter ginsenosidivorax",0,0,0,0,0,0,"Mucilaginibacter ginsenosidivorax"
"Mucilaginibacter gossypii",0,0,0,0,0,0,"Mucilaginibacter gossypii"
"Mucilaginibacter gotjawali",0,0,0,0,0,0,"Mucilaginibacter gotjawali"
"Mucilaginibacter mali",0,3.08327953850732e-05,0,6.93417668658981e-05,0,0,"Mucilaginibacter mali"
"Mucilaginibacter xinganensis",0,0,0,1.22987508405559e-05,0,0,"Mucilaginibacter xinganensis"
"Mucisphaera calidilacus",0,0,0,0,0,0,"Mucisphaera calidilacus"
"Mucispirillum schaedleri",0,0,0,0,0,0,"Mucispirillum schaedleri"
"Mud crab virus",0,0,0,0,0,0,"Mud crab virus"
"Mudcatvirus circum",0,0,0,0,0,0,"Mudcatvirus circum"
"Mudcatvirus mudcat",0,0,0,0,0,0,"Mudcatvirus mudcat"
"Mufasoctovirus mufasa8",0,0,0,0,0,0,"Mufasoctovirus mufasa8"
"Muikkunen hartmanivirus",0,0,0,0,0,0,"Muikkunen hartmanivirus"
"Mukawa phlebovirus",0,0,0,0,0,0,"Mukawa phlebovirus"
"Mulberry badnavirus 1",0,0,0,0,0,0,"Mulberry badnavirus 1"
"Mulberry mosaic dwarf associated virus",0,0,0,0,0,0,"Mulberry mosaic dwarf associated virus"
"Mulberry mosaic leaf roll associated virus",0,0,0,0,0,0,"Mulberry mosaic leaf roll associated virus"
"Mulberry small circular viroid-like RNA 1",0,0,0,0,0,0,"Mulberry small circular viroid-like RNA 1"
"Mulberry vein banding virus",0,0,0,0,0,0,"Mulberry vein banding virus"
"Muldoonvirus PS2",0,0,0,0,0,0,"Muldoonvirus PS2"
"Muldoonvirus muldoon",0,0,0,0,0,0,"Muldoonvirus muldoon"
"Mule deerpox virus",0,0,0,0,0,0,"Mule deerpox virus"
"Mume virus A",0,0,0,0,0,0,"Mume virus A"
"Muminvirus filifjonk",0,0,0,0,0,0,"Muminvirus filifjonk"
"Muminvirus mumin",0,0,0,0,0,0,"Muminvirus mumin"
"Muminvirus mymlan",0,0,0,0,0,0,"Muminvirus mymlan"
"Muminvirus snusmum",0,0,0,0,0,0,"Muminvirus snusmum"
"Muminvirus tooticki",0,0,0,0,0,0,"Muminvirus tooticki"
"Mumps orthorubulavirus",0,0,0,0,0,0,"Mumps orthorubulavirus"
"Mungbean yellow mosaic India virus",0,0,0,0,0,0,"Mungbean yellow mosaic India virus"
"Mungbean yellow mosaic betasatellite",0,0,0,0,0,0,"Mungbean yellow mosaic betasatellite"
"Mungbean yellow mosaic virus",0,0,0,0,0,0,"Mungbean yellow mosaic virus"
"Munguba phlebovirus",0,0,0,0,0,0,"Munguba phlebovirus"
"Munia coronavirus HKU13",0,0,0,0,0,0,"Munia coronavirus HKU13"
"Mupapillomavirus 1",0,0,0,0,0,0,"Mupapillomavirus 1"
"Mupapillomavirus 2",0,0,0,0,0,0,"Mupapillomavirus 2"
"Mupapillomavirus 3",0,0,0,0,0,0,"Mupapillomavirus 3"
"Murciavirus CB5A",0,0,0,0,0,0,"Murciavirus CB5A"
"Murciavirus CPP1m",0,0,0,0,0,0,"Murciavirus CPP1m"
"Murdochiella vaginalis",0,0,0,0,0,0,"Murdochiella vaginalis"
"Muribaculum intestinale",0,0,0,7.90313876552615e-05,0,0,"Muribaculum intestinale"
"Muricauda aurantiaca",0,0,0,0,0,0,"Muricauda aurantiaca"
"Muricauda lutaonensis",0,0,0,0,0,0,"Muricauda lutaonensis"
"Muricauda oceani",0,0,0,0,0,0,"Muricauda oceani"
"Muricauda ruestringensis",0,0,0,0,0,0,"Muricauda ruestringensis"
"Murid betaherpesvirus 1",0,0,0,0,0,0,"Murid betaherpesvirus 1"
"Murid betaherpesvirus 2",0,0,0,0,0,0,"Murid betaherpesvirus 2"
"Murid betaherpesvirus 8",0,0,0,0,0,0,"Murid betaherpesvirus 8"
"Murid gammaherpesvirus 4",0,0,0,0,0,0,"Murid gammaherpesvirus 4"
"Murid gammaherpesvirus 7",0,0,0,0,0,0,"Murid gammaherpesvirus 7"
"Muriicola soli",0,0,0,0,0,0,"Muriicola soli"
"Murine astrovirus",0,0,0,0,0,0,"Murine astrovirus"
"Murine coronavirus",0,0,0,0,0,0,"Murine coronavirus"
"Murine leukemia virus",0.00374165208617566,0,0,0,0,0,"Murine leukemia virus"
"Murine leukemia-related retroviruses",0.000183988875173927,0,0,0,0,0,"Murine leukemia-related retroviruses"
"Murine mastadenovirus A",0,0,0,0,0,0,"Murine mastadenovirus A"
